OpenHarmony-SIG/flutter_flutter,flutter_flutter
chenanshun/flutter_picker,选择器，初始化版本2.1.0 https://pub-web.flutter-io.cn/packages/flutter_picker
zhonghua/flutter_interceptor,flutterdio interceptor
张广超/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
黄志玖/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
燃木/AI_yolov8实现的ai自瞄,基于yolov8的一个ai自瞄应用。能在fps游戏中实现自动瞄准，自动射击。主要使用《战地2》进行了开发和测试。
李一帆/jhzk_ai,A project to researchaisolution for jhzk
Ikaros/AI-Vtuber,AIVtuber是一个由 【ChatterBot/gpt/claude/langchain_pdf+gpt/chatglm/langchain_pdf_local】 驱动的虚拟主播【Live2D】，可以在 【Bilibili/抖音/快手/微信视频号/斗鱼/油管/T台】
ezrealcong/ai,aifile upload
张宇/AI-Imagery,Welcome toAIGit repository! This repository is designed to provide you with a web template that integrates AIGC-generated images
LxzGordon/overcooked_ai,overcooked_aifrom HumanCompatibleAI
Ozzy/AI学习,这个仓库是进行AI学习，每一个代码都是循序渐进的。
Tech-Maid/AI-Intelligent,微信小程序-垃圾分类，AI-Intelligent-Recognition-master
FlashingCloud/CSDN-AI-WORK,CSDN-AI-WORK
aiapp repo/ai-svc-template,ai-svc-template
张文彬/dicui_ai,dicui_aifor android.
elsadeny/Agakoti-flutter,This will hold information of agakoti for ios/android/mac forflutter
marty/flutter,只为了加速flutter下载，每天同步一次
dangshuai/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
飞轩洁/Flutter_Weekly,记录flutter学习的一些日常
张福明/flutter,Fluttermakes it easy and fast to build beautiful mobile apps.
panee/Flutter,Flutter练习
tekintian/flutter_app_demo,"flutterapp demo. 跨平台原生 Android, Ios, Macos, windows , web app demo withflutter"
jxsd1234a/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond
qiangzai00002/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond.
lsgb66/flutter,Fluttermakes it easy and fast to build beautiful apps for mobile and beyond
TerryLiu/flutter-quill,https://github.com/singerdmx/flutter-quill
GMCY/Clever-Ai,智慧助手 CleverAi
barbara-x/AI-Chip,"A list of ICs and IPs forAI, Machine Learning and Deep Learning."
yuna/AI_teacher,aiteacher android
张宇/AI-Imagery-back,AI-Imagery后端
boyan520/ai-edu,"AIeducation materials for Chinese students, teachers and IT professionals."
Lujun Lyu/AIRESAMPLE,AIresample
donPabloNow/AI_Writer,AIWriter for Machine Learning for Hackers #8
float996/neo-ai-dlr,git://github.com/neo-ai/neo-ai-dlr.git
